,0,1,2,3,4,5,6,7
0,"['11.95', '15.56', '11.93', '13.59', '16.63', '18.99', '18.76', '35.12', '24.96', '22.51', '24.90', '22.60', '20.90', 'PE Ratio']","['3.57', '5.50', '5.32', '4.82', '5.99', '10.51', '11.43', '30.76', '37.46', '44.23', '38.30', '29.74', '22.61', 'PB Ratio']","['44590.00', '49900.00', '69778.00', '53200.00', '51774.00', '64121.00', '58896.00', '73365.00', '92953.00', '111443.00', '97781.00', '112807.00', '122339.00', 'FCF']","['16960.00', '35295.00', '64328.00', '87032.00', '115680.00', '114483.00', '108047.00', '112436.00', '124719.00', '120069.00', '–', '–', '–', 'Total Debt']","['123549.00', '111547.00', '119355.00', '128249.00', '134047.00', '107147.00', '90488.00', '65339.00', '63090.00', '50672.00', '–', '–', '–', ""Sh' Equity""]","['19.34', '18.01', '20.45', '14.93', '13.87', '16.07', '15.69', '17.33', '28.06', '28.36', '27.20', '27.70', '27.30', 'ROA']","['30.64', '33.61', '46.25', '36.90', '36.87', '49.36', '55.92', '73.69', '147.44', '175.46', '170.00', '162.00', '126.00', 'ROE']","['Apple', 'Apple', 'Apple', 'Apple', 'Apple', 'Apple', 'Apple', 'Apple', 'Apple', 'Apple', 'Apple', 'Apple', 'Apple', 'Apple']"
1,"['13.22', '15.68', '30.03', '24.48', '25.25', '46.73', '26.55', '34.97', '33.32', '26.48', '27.60', '23.70', '20.30', 'PE Ratio']","['3.65', '3.85', '4.51', '5.63', '6.09', '9.31', '10.17', '13.09', '14.40', '11.56', '9.27', '7.33', '5.77', 'PB Ratio']","['24576.00', '27017.00', '23724.00', '24982.00', '31378.00', '32252.00', '38260.00', '45234.00', '56118.00', '65149.00', '61605.00', '74539.00', '88977.00', 'FCF']","['15600.00', '22645.00', '35292.00', '53461.00', '86194.00', '87508.00', '86455.00', '82110.00', '82278.00', '78400.00', '–', '–', '–', 'Total Debt']","['78944.00', '89784.00', '80083.00', '71997.00', '87711.00', '82718.00', '102330.00', '118304.00', '141988.00', '166542.00', '–', '–', '–', ""Sh' Equity""]","['16.58', '14.02', '7.03', '11.16', '11.49', '6.51', '14.39', '15.06', '19.30', '20.82', '17.70', '17.50', '17.40', 'ROA']","['30.09', '26.17', '14.36', '27.01', '31.92', '19.45', '42.41', '40.14', '47.08', '47.15', '36.20', '33.50', '31.90', 'ROE']","['Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft']"
2,"['14.41', '24.65', '32.68', '27.86', '58.45', '23.42', '26.96', '29.56', '25.40', '19.52', '–', '–', '–', 'PE Ratio']","['4.26', '3.42', '4.32', '3.89', '4.84', '4.05', '4.60', '5.36', '7.68', '4.57', '–', '–', '–', 'PB Ratio']","['11301.00', '12065.00', '16657.00', '26064.00', '23907.00', '22832.00', '30972.00', '42843.00', '67012.00', '60010.00', '–', '–', '–', 'FCF']","['2236.00', '3228.00', '1995.00', '3935.00', '3969.00', '4012.00', '5753.00', '16726.00', '17119.00', '14701.00', '–', '–', '–', 'Total Debt']","['87309.00', '103860.00', '120331.00', '139036.00', '152502.00', '177628.00', '201442.00', '222544.00', '251635.00', '256144.00', '–', '–', '–', ""Sh' Equity""]","['12.44', '11.77', '11.44', '12.37', '6.94', '14.29', '13.50', '13.52', '22.40', '16.55', '–', '–', '–', 'ROA']","['16.01', '14.79', '14.12', '15.02', '8.69', '18.62', '18.12', '19.00', '32.07', '23.62', '–', '–', '–', 'ROE']","['Alphabet (Google)', 'Alphabet (Google)', 'Alphabet (Google)', 'Alphabet (Google)', 'Alphabet (Google)', 'Alphabet (Google)', 'Alphabet (Google)', 'Alphabet (Google)', 'Alphabet (Google)', 'Alphabet (Google)', 'Alphabet (Google)', 'Alphabet (Google)', 'Alphabet (Google)', 'Alphabet (Google)']"
3,"['675.93', '0.00', '527.97', '150.72', '188.43', '72.70', '78.80', '76.46', '50.57', '0.00', '69.60', '36.80', '27.20', 'PE Ratio']","['18.70', '13.35', '23.58', '18.52', '20.60', '16.80', '14.71', '17.44', '12.20', '5.99', '5.35', '4.15', '3.31', 'PB Ratio']","['2031.00', '1949.00', '7450.00', '10466.00', '8307.00', '19400.00', '25825.00', '31020.00', '(9069.00)', '(11569.00)', '19782.00', '36614.00', '56848.00', 'FCF']","['3191.00', '8265.00', '8227.00', '12891.00', '30925.00', '32997.00', '37744.00', '47931.00', '64667.00', '67150.00', '–', '–', '–', 'Total Debt']","['9746.00', '10741.00', '13384.00', '19285.00', '27709.00', '43549.00', '62060.00', '93404.00', '138245.00', '146043.00', '–', '–', '–', ""Sh' Equity""]","['0.75', '(0.51)', '1.00', '3.20', '2.83', '6.85', '5.97', '7.81', '9.00', '(0.62)', '3.90', '5.58', '5.91', 'ROA']","['3.05', '(2.35)', '4.94', '14.52', '12.91', '28.27', '21.95', '27.44', '28.81', '(1.91)', '10.80', '13.30', '15.00', 'ROE']","['Amazon', 'Amazon', 'Amazon', 'Amazon', 'Amazon', 'Amazon', 'Amazon', 'Amazon', 'Amazon', 'Amazon', 'Amazon', 'Amazon', 'Amazon', 'Amazon']"
4,"['0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '966.79', '190.42', '26.87', '56.80', '37.30', '29.30', 'PE Ratio']","['26.93', '30.39', '28.39', '5.65', '10.17', '9.86', '9.94', '28.52', '33.61', '7.44', '11.74', '8.94', '7.06', 'PB Ratio']","['0.58', '(1027.22)', '(2159.35)', '(1404.63)', '(3476.00)', '(3.00)', '1073.00', '2776.00', '3787.00', '8493.00', '10738.00', '15970.00', '20034.00', 'FCF']","['598.97', '2488.08', '2696.30', '7029.27', '10314.94', '13827.00', '14697.00', '13347.00', '8873.00', '5748.00', '–', '–', '–', 'Total Debt']","['667.12', '911.71', '1083.70', '5538.09', '5234.59', '4923.00', '6618.00', '22225.00', '30189.00', '44704.00', '–', '–', '–', ""Sh' Equity""]","['(4.19)', '(7.13)', '(12.79)', '(4.39)', '(7.65)', '(3.34)', '(2.69)', '1.60', '9.67', '17.42', '12.80', '16.00', '15.00', 'ROA']","['(18.69)', '(37.25)', '(89.07)', '(20.38)', '(36.43)', '(19.22)', '(14.94)', '4.78', '21.08', '33.60', '25.10', '27.40', '25.20', 'ROE']","['Tesla', 'Tesla', 'Tesla', 'Tesla', 'Tesla', 'Tesla', 'Tesla', 'Tesla', 'Tesla', 'Tesla', 'Tesla', 'Tesla', 'Tesla', 'Tesla']"
5,"['20.96', '17.23', '26.18', '36.16', '48.48', '21.11', '51.62', '75.53', '63.27', '83.14', '73.40', '53.10', '–', 'PE Ratio']","['2.07', '2.45', '3.56', '10.25', '19.71', '9.36', '11.81', '19.33', '23.04', '22.55', '21.94', '18.09', '–', 'PB Ratio']","['605.00', '805.00', '1096.00', '1503.00', '2911.00', '3143.00', '4272.00', '4694.00', '8132.00', '3808.00', '10595.00', '13680.00', '–', 'FCF']","['1373.88', '1398.00', '1510.00', '2810.00', '2000.00', '1988.00', '2082.00', '7084.00', '10946.00', '9703.00', '–', '–', '–', 'Total Debt']","['4456.40', '4418.00', '4469.00', '5762.00', '7471.00', '9342.00', '12204.00', '16893.00', '26612.00', '22101.00', '–', '–', '–', ""Sh' Equity""]","['6.44', '8.73', '8.43', '19.36', '28.91', '33.76', '18.27', '18.79', '26.73', '10.23', '24.60', '29.00', '–', 'ROA']","['9.48', '14.22', '13.82', '32.57', '46.05', '49.26', '25.95', '29.78', '44.83', '0.00', '44.10', '54.00', '–', 'ROE']","['NVIDIA', 'NVIDIA', 'NVIDIA', 'NVIDIA', 'NVIDIA', 'NVIDIA', 'NVIDIA', 'NVIDIA', 'NVIDIA', 'NVIDIA', 'NVIDIA', 'NVIDIA', 'NVIDIA', 'NVIDIA']"
6,"['23.62', '24.72', '27.05', '33.48', '37.39', '34.04', '32.33', '40.89', '39.56', '25.38', '24.60', '20.80', '–', 'PE Ratio']","['4.18', '4.41', '5.18', '6.60', '8.15', '10.83', '11.77', '12.55', '12.56', '10.18', '9.81', '8.71', '–', 'PB Ratio']","['2551.00', '6652.00', '6180.00', '5051.00', '8622.00', '12223.00', '12028.00', '9704.00', '14522.00', '17879.00', '18007.00', '20660.00', '–', 'FCF']","['–', '–', '–', '15882.00', '18367.00', '16630.00', '16729.00', '24070.00', '20977.00', '22450.00', '–', '–', '–', 'Total Debt']","['26870.00', '27413.00', '29842.00', '32912.00', '32760.00', '34006.00', '34684.00', '36210.00', '37589.00', '35581.00', '–', '–', '–', ""Sh' Equity""]","['13.11', '14.59', '16.24', '11.59', '10.15', '15.02', '17.04', '14.16', '15.03', '17.76', '19.90', '21.20', '–', 'ROA']","['18.28', '20.04', '22.10', '21.01', '24.62', '36.94', '41.83', '36.01', '37.51', '44.14', '45.40', '48.20', '–', 'ROE']","['Visa', 'Visa', 'Visa', 'Visa', 'Visa', 'Visa', 'Visa', 'Visa', 'Visa', 'Visa', 'Visa', 'Visa', 'Visa', 'Visa']"
7,"['13.69', '17.74', '19.57', '21.61', '20.65', '20.44', '20.52', '21.88', '27.77', '24.48', '22.20', '19.50', '–', 'PE Ratio']","['2.36', '3.03', '3.32', '4.03', '4.28', '4.42', '4.63', '4.87', '6.31', '5.95', '5.25', '4.57', '–', 'PB Ratio']","['5684.00', '6526.00', '8184.00', '8090.00', '11573.00', '13650.00', '16392.00', '20123.00', '19889.00', '23404.00', '23568.00', '27724.00', '–', 'FCF']","['14891.00', '16007.00', '25331.00', '25777.00', '28835.00', '38457.00', '39963.00', '43095.00', '45786.00', '54513.00', '–', '–', '–', 'Total Debt']","['32149.00', '32454.00', '33725.00', '38177.00', '49833.00', '51696.00', '57616.00', '65491.00', '71760.00', '81450.00', '–', '–', '–', ""Sh' Equity""]","['6.91', '6.68', '5.88', '6.00', '8.06', '8.17', '8.36', '8.16', '8.30', '8.72', '9.60', '10.10', '–', 'ROA']","['17.76', '17.40', '17.57', '19.52', '23.99', '23.61', '25.32', '25.02', '25.19', '26.26', '26.90', '26.80', '–', 'ROE']","['UnitedHealth', 'UnitedHealth', 'UnitedHealth', 'UnitedHealth', 'UnitedHealth', 'UnitedHealth', 'UnitedHealth', 'UnitedHealth', 'UnitedHealth', 'UnitedHealth', 'UnitedHealth', 'UnitedHealth', 'UnitedHealth', 'UnitedHealth']"
8,"['13.73', '12.16', '20.25', '48.35', '18.37', '13.97', '20.77', '0.00', '11.35', '8.03', '10.30', '11.00', '–', 'PE Ratio']","['2.48', '2.19', '1.85', '2.18', '1.86', '1.47', '1.50', '1.07', '1.49', '2.17', '2.16', '2.02', '–', 'PB Ratio']","['11245.00', '12164.00', '3854.00', '5919.00', '14664.00', '16440.00', '5355.00', '(1615.00)', '39229.00', '63637.00', '43244.00', '37965.00', '–', 'FCF']","['6891.00', '11653.00', '19925.00', '42762.00', '42336.00', '37796.00', '48146.00', '68812.00', '49075.00', '41193.00', '–', '–', '–', 'Total Debt']","['180495.00', '181064.00', '176810.00', '173830.00', '194500.00', '198528.00', '198938.00', '164130.00', '175683.00', '202473.00', '–', '–', '–', ""Sh' Equity""]","['9.57', '9.34', '4.71', '2.35', '5.81', '6.00', '4.05', '(6.45)', '6.86', '15.75', '10.50', '8.67', '–', 'ROA']","['18.50', '17.99', '9.03', '4.47', '10.70', '10.60', '7.22', '(12.36)', '13.56', '29.48', '21.10', '17.30', '–', 'ROE']","['Exxon Mobil', 'Exxon Mobil', 'Exxon Mobil', 'Exxon Mobil', 'Exxon Mobil', 'Exxon Mobil', 'Exxon Mobil', 'Exxon Mobil', 'Exxon Mobil', 'Exxon Mobil', 'Exxon Mobil', 'Exxon Mobil', 'Exxon Mobil', 'Exxon Mobil']"
9,"['32.50', '27.70', '29.06', '28.56', '41.62', '33.57', '37.42', '55.86', '40.83', '33.83', '26.60', '–', '–', 'PE Ratio']","['13.50', '14.71', '18.21', '20.36', '29.49', '36.25', '51.32', '55.13', '48.08', '52.82', '29.24', '–', '–', 'PB Ratio']","['3836.00', '3073.00', '3759.00', '4255.00', '5241.00', '5719.00', '7455.00', '6516.00', '8649.00', '10098.00', '12075.00', '–', '–', 'FCF']","['–', '1494.00', '3268.00', '5180.00', '5424.00', '6334.00', '8633.00', '12672.00', '13901.00', '14023.00', '–', '–', '–', 'Total Debt']","['7495.00', '6824.00', '6062.00', '5684.00', '5497.00', '5418.00', '5917.00', '6488.00', '7383.00', '6356.00', '–', '–', '–', ""Sh' Equity""]","['23.34', '24.46', '24.12', '23.24', '19.57', '25.37', '30.01', '20.41', '24.38', '26.00', '30.60', '–', '–', 'ROA']","['43.21', '50.52', '59.10', '69.11', '70.03', '107.36', '143.24', '103.36', '125.25', '144.55', '153.00', '–', '–', 'ROE']","['Mastercard', 'Mastercard', 'Mastercard', 'Mastercard', 'Mastercard', 'Mastercard', 'Mastercard', 'Mastercard', 'Mastercard', 'Mastercard', 'Mastercard', 'Mastercard', 'Mastercard', 'Mastercard']"
