선수명,연도,팀명,연봉(만원),WAR
로저스,2015,한화,170000,2.836
김태균,2015,한화,160000,5.196
테임즈,2015,NC,125000,10.873
윤석민,2015,KIA,125000,3.873
린드블럼,2015,롯데,120000,6.478
니퍼트,2015,두산,120000,0.862
정우람,2015,한화,120000,
이승엽,2015,삼성,100000,3.156
최정,2015,SK,100000,3.955
강민호,2015,롯데,100000,5.154
장원준,2015,두산,100000,2.889
필,2015,KIA,90000,3.057
김광현,2015,SK,85000,3.957
찰리,2015,NC,80000,-0.313
박용택,2015,LG,80000,2.235
윤성환,2015,삼성,80000,3.909
이병규,2015,LG,80000,-0.434
아두치,2015,롯데,78000,5.014
박석민,2015,NC,75000,
양현종,2015,KIA,75000,8.135
장원삼,2015,삼성,75000,-0.371
켈리,2015,SK,75000,4.399
안지만,2015,삼성,75000,2.378
마르테,2015,kt,75000,4.392
이호준,2015,NC,75000,1.872
김현수,2015,두산,75000,6.023
박병호,2015,넥센,70000,8.339
이용규,2015,한화,70000,5.195
정근우,2015,한화,70000,4.94
손승락,2015,롯데,70000,
최형우,2015,삼성,70000,4.863
밴헤켄,2015,넥센,65000,5.116
이범호,2015,KIA,65000,2.778
레일리,2015,롯데,63000,3.872
이진영,2015,kt,60000,
이동현,2015,LG,60000,1.037
유한준,2015,kt,60000,
해커,2015,NC,60000,5.636
김강민,2015,SK,60000,1.99
손아섭,2015,롯데,60000,4.017
배영수,2015,한화,55000,-1.554
밴와트,2015,SK,52500,1.231
김주찬,2015,KIA,50000,3.164
히메네스,2015,LG,50000,2.365
이종욱,2015,NC,50000,1.961
임창용,2015,삼성,50000,2.08
정성훈,2015,LG,50000,1.47
윤길현,2015,롯데,50000,
정상호,2015,LG,50000,
스튜어트,2015,NC,50000,4.318
황재균,2015,롯데,50000,4.692
소사,2015,LG,50000,4.232
이택근,2015,넥센,50000,1.845
송은범,2015,한화,45000,-0.529
피어밴드,2015,넥센,45000,3.098
박한이,2015,삼성,45000,2.373
권혁,2015,한화,45000,0.875
김재호,2015,두산,41000,3.604
우규민,2015,LG,40000,4.948
송승준,2015,롯데,40000,1.757
차우찬,2015,삼성,40000,1.623
홍성흔,2015,두산,40000,0.095
유희관,2015,두산,40000,4.397
오재원,2015,두산,40000,2.348
정현욱,2015,LG,40000,
최준석,2015,롯데,40000,2.869
박정권,2015,SK,40000,2.348
손시헌,2015,NC,40000,1.74
조인성,2015,한화,40000,0.241
이현승,2015,두산,40000,2.214
이대수,2015,SK,35000,0.154
민병헌,2015,두산,35000,3.316
이승호,2015,NC,35000,-0.246
정대현,2015,롯데,32000,0.7
김상수,2015,삼성,31000,2.732
봉중근,2015,LG,30000,0.921
한현희,2015,넥센,30000,2.001
이대형,2015,kt,30000,0.913
조동화,2015,SK,30000,0.327
채태인,2015,넥센,30000,
나성범,2015,NC,30000,5.739
강영식,2015,롯데,30000,0.603
박정진,2015,한화,30000,2.807
이재원,2015,SK,28000,1.475
정수빈,2015,두산,28000,1.604
안영명,2015,한화,28000,0.92
이병규,2015,LG,26000,-0.434
서건창,2015,넥센,26000,1.533
심수창,2015,한화,25000,
오지환,2015,LG,25000,6.573
채병용,2015,SK,25000,0.483
이성열,2015,한화,25000,
박경수,2015,kt,23000,5.528
김민성,2015,넥센,22000,1.946
김승회,2015,SK,22000,
정훈,2015,롯데,21000,3.075
이지영,2015,삼성,21000,2.123
김태군,2015,NC,21000,0.253
노경은,2015,두산,20000,0.583
나지완,2015,KIA,20000,-0.144
헥터,2016,KIA,170000,6.644
로저스,2016,한화,170000,0.726
김태균,2016,한화,160000,5.205
윤석민,2016,KIA,125000,0.877
린드블럼,2016,롯데,120000,2.69
니퍼트,2016,두산,120000,5.969
정우람,2016,한화,120000,3.259
이승엽,2016,삼성,100000,2.664
최정,2016,SK,100000,5.495
로사리오,2016,한화,100000,2.893
강민호,2016,롯데,100000,5.024
장원준,2016,두산,100000,5.669
김광현,2016,SK,85000,3.688
윤성환,2016,삼성,80000,4.127
이병규9,2016,LG,80000,
박용택,2016,LG,80000,3.195
양현종,2016,KIA,75000,5.692
켈리,2016,SK,75000,5.945
이호준,2016,NC,75000,1.709
박석민,2016,NC,75000,3.854
장원삼,2016,삼성,75000,-0.5
손승락,2016,롯데,70000,1.418
이용규,2016,한화,70000,3.972
최형우,2016,삼성,70000,7.959
정근우,2016,한화,70000,4.317
보우덴,2016,두산,65000,4.776
밴헤켄,2016,넥센,65000,2.672
이범호,2016,KIA,65000,4.629
레일리,2016,롯데,63000,3.522
이진영,2016,kt,60000,1.551
대니돈,2016,넥센,60000,3.311
이동현,2016,LG,60000,0.451
유한준,2016,kt,60000,3.44
손아섭,2016,롯데,60000,5.15
해커,2016,NC,60000,4.885
김강민,2016,SK,60000,2.476
허프,2016,LG,55000,2.066
오재원,2016,두산,55000,1.762
에반스,2016,두산,55000,3.56
배영수,2016,한화,55000,
정성훈,2016,LG,50000,1.131
임창용,2016,KIA,50000,0.847
히메네스,2016,LG,50000,5.356
정상호,2016,LG,50000,-0.332
윤길현,2016,롯데,50000,0.097
황재균,2016,롯데,50000,6.073
이택근,2016,넥센,50000,1.798
이종욱,2016,NC,50000,2.272
소사,2016,LG,50000,2.625
김주찬,2016,KIA,50000,4.271
권혁,2016,한화,45000,2.787
송은범,2016,한화,45000,0.4
박한이,2016,삼성,45000,1.479
양의지,2016,두산,42000,4.874
김재호,2016,두산,41000,4.409
손시헌,2016,NC,40000,3.551
우규민,2016,LG,40000,0.76
조인성,2016,한화,40000,-1.508
이현승,2016,두산,40000,0.236
박정권,2016,SK,40000,1.811
조동찬,2016,삼성,40000,0.479
최준석,2016,롯데,40000,0.731
유희관,2016,두산,40000,4.135
차우찬,2016,삼성,40000,3.178
송승준,2016,롯데,40000,-0.768
민병헌,2016,두산,35000,4.038
이대수,2016,SK,35000,-0.233
피어밴드,2016,kt,35000,
